Constituency,Winner,Party,Votes,Margin
OTTAPPALAM,ADV. K. PREMKUMAR,Communist Party of India (Marxist),,26777
PALA,MANI C KAPPEN,Independent,,2991
PALAKKAD,RAMESH PISHARODY,Indian National Congress,,13147
PARASSALA,C K HAREENDRAN,Communist Party of India (Marxist),,15013
PARAVUR,ADV.V.D.SATHEESAN,Indian National Congress,,20600
PATHANAPURAM,JYOTHI KUMAR CHAMAKKALA,Indian National Congress,,8310
PATTAMBI,MUHAMMED MUHASSIN,Communist Party of India,,9442
PAYYANNUR,V. KUNHIKRISHNAN,Independent,,7487
PEERUMADE,ADV.CYRIAC THOMAS,Indian National Congress,,27634
PERAMBRA,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,,5087
PERAVOOR,ADV. SUNNY JOSEPH,Indian National Congress,,14453
PERINTHALMANNA,NAJEEB KANTHAPURAM,Indian Union Muslim League,,32431
PERUMBAVOOR,MANOJ MOOTHEDAN,Indian National Congress,,28434
PIRAVOM,ANOOP JACOB,Kerala Congress (Jacob),,44681
PONNANI,K.P NOUSHAD ALI,Indian National Congress,,13267
POONJAR,ADV.SEBASTIAN M.J,Indian National Congress,,6693
PUDUKKAD,K K RAMACHANDRAN,Communist Party of India (Marxist),,2853
PUNALUR,C. AJAYAPRASAD,Communist Party of India,,21529
PUTHUPPALLY,ADV. CHANDY OOMMEN,Indian National Congress,,52907
QUILANDY,ADV. K. PRAVEEN KUMAR,Indian National Congress,,12070
RANNI,ADV. PAZHAKULAM MADHU,Indian National Congress,,4344
SHORNUR,P.MAMMIKUTTY,Communist Party of India (Marxist),,16517
SULTHANBATHERY,I C BALAKRISHNAN,Indian National Congress,,16597
TALIPARAMBA,T K GOVINDAN MASTER,Independent,,12551
TANUR,P K NAVAS,Indian Union Muslim League,,27131
TARUR,SUMOD,Communist Party of India (Marxist),,11910
THALASSERY,KARAYI RAJAN,Communist Party of India (Marxist),,20523
THAVANUR,ADV. V S JOY,Indian National Congress,,14647
THIRUVALLA,ADV.VARGHESE MAMMEN,Kerala Congress,,10146
THIRUVAMBADI,C K KASIM,Indian Union Muslim League,,6741
THIRUVANANTHAPURAM,C P JOHN,Communist Marxist Party Kerala State Committee,,9863
THODUPUZHA,APU JOHN JOSEPH,Kerala Congress,,44291
THRIKKAKARA,UMA THOMAS,Indian National Congress,,50211
THRIPUNITHURA,DEEPAK JOY,Indian National Congress,,18468
THRISSUR,RAJAN. J. PALLAN,Indian National Congress,,26803
THRITHALA,V T BALRAM,Indian National Congress,,8385
TIRUR,KURUKKOLI MOIDEEN,Indian Union Muslim League,,24137
TIRURANGADI,P M A SAMEER,Indian Union Muslim League,,63387
TRIKARIPUR,SANDEEP VARIER,Indian National Congress,,4431
UDMA,NEELAKANDAN,Indian National Congress,,4847
UDUMBANCHOLA,ADV. SENAPATHY VENU,Indian National Congress,,20021
VADAKARA,K K REMA,Revolutionary Marxist Party of India,,14862
VAIKOM,K BINIMON,Indian National Congress,,1360
VALLIKUNNU,T V IBRAHIM,Indian Union Muslim League,,51289
VAMANAPURAM,MUHAMMED SUDHEERSHA S,Indian National Congress,,12185
VARKALA,ADV.V JOY,Communist Party of India (Marxist),,2050
VATTIYOORKAVU,K. MURALEEDHARAN,Indian National Congress,,5425
VENGARA,K.M. SHAJI,Indian Union Muslim League,,30325
VYPEN,TONY CHAMMANY,Indian National Congress,,15648
WADAKKANCHERY,XAVIER CHITTILAPPILLY,Communist Party of India (Marxist),,5690
WANDOOR,A.P ANILKUMAR,Indian National Congress,,47939
